date,actual,date,forecast
,,2015-01-22,221238.5778009005
,,2015-01-23,225163.73636672337
,,2015-01-26,223709.73662047694
,,2015-01-27,224204.84762865043
,,2015-01-28,221277.9956496025
,,2015-01-29,217050.79441843176
,,2015-01-30,220086.96181258612
,,2015-02-02,216218.63394081395
,,2015-02-03,220298.27410441212
,,2015-02-04,222071.64503947325
,,2015-02-05,221382.9118881154
,,2015-02-06,224386.7919835291
,,2015-02-09,224681.91703393642
,,2015-02-10,223591.62173043494
,,2015-02-11,224955.65386561805
,,2015-02-12,224451.27529225982
,,2015-02-13,224028.81900452287
,,2015-02-17,223073.05768202612
,,2015-02-18,223396.68533152033
,,2015-02-19,222475.09141854208
,,2015-02-20,221581.94995598024
,,2015-02-23,223113.71951369365
,,2015-02-24,220801.19697463448
,,2015-02-25,223312.89280934888
,,2015-02-26,222941.8971067352
,,2015-02-27,222269.29401398735
,,2015-03-02,221126.991348117
,,2015-03-03,220571.43052125105
,,2015-03-04,219062.11378188926
,,2015-03-05,217864.98029964592
,,2015-03-06,219696.20422031457
,,2015-03-09,218865.75993943366
,,2015-03-10,220972.2252219154
,,2015-03-11,217251.78072178125
,,2015-03-12,217640.0078164853
,,2015-03-13,220010.9535401236
,,2015-03-16,217063.99845196237
,,2015-03-17,219534.14204291842
,,2015-03-18,218642.82280690025
,,2015-03-19,219830.81843546272
,,2015-03-20,217892.8157072296
,,2015-03-23,218509.63239504478
,,2015-03-24,218340.16698145808
,,2015-03-25,217186.5237794108
,,2015-03-26,217023.65734649275
,,2015-03-27,215999.32064242614
,,2015-03-30,217383.23861251015
,,2015-03-31,219695.84687181748
,,2015-04-01,217448.2271299134
,,2015-04-02,216122.8983039608
,,2015-04-06,216697.11838592333
,,2015-04-07,216178.7227512052
,,2015-04-08,215473.06785545772
,,2015-04-09,215059.76450301963
,,2015-04-10,215552.89503299055
,,2015-04-13,215422.94596026238
,,2015-04-14,216032.57958378264
,,2015-04-15,214389.4114386997
,,2015-04-16,214839.16685095476
,,2015-04-17,214242.43963450688
,,2015-04-20,212899.2603442677
,,2015-04-21,214332.45891060383
,,2015-04-22,213639.7114631472
,,2015-04-23,214798.54513207526
,,2015-04-24,214688.53333060618
,,2015-04-27,214596.06137192732
,,2015-04-28,212564.99609912443
,,2015-04-29,215149.2985869164
,,2015-04-30,214203.34502357373
,,2015-05-01,213469.24189434422
,,2015-05-04,215992.97003005526
,,2015-05-05,219027.4447837163
,,2015-05-06,217934.1136538621
,,2015-05-07,216619.81936162442
,,2015-05-08,218396.0127936792
,,2015-05-11,222422.00315526163
,,2015-05-12,219711.04728400375
,,2015-05-13,217554.7762882802
,,2015-05-14,216847.70234540926
,,2015-05-15,219446.10780565144
,,2015-05-18,218758.19589034852
,,2015-05-19,218954.68656310893
,,2015-05-20,220235.6499994315
,,2015-05-21,219608.66450374416
,,2015-05-22,218170.56552466087
,,2015-05-26,216697.89318445156
,,2015-05-27,216000.12408863968
,,2015-05-28,217673.1254210936
,,2015-05-29,217472.82521922258
,,2015-06-01,214853.9781101239
,,2015-06-02,216085.542365563
,,2015-06-03,214938.80589026184
,,2015-06-04,214233.5813029211
,,2015-06-05,212838.1291220761
,,2015-06-08,212073.73415893858
,,2015-06-09,209993.96710546472
,,2015-06-10,209797.12488310225
,,2015-06-11,211800.49233536614
,,2015-06-12,212342.7610377298
,,2015-06-15,210870.9373715836
,,2015-06-16,209072.3211391702
,,2015-06-17,209886.33764165628
,,2015-06-18,210383.181030714
,,2015-06-19,214070.74797083746
,,2015-06-22,212020.05366855592
,,2015-06-23,212630.82636510243
,,2015-06-24,211941.15802815836
,,2015-06-25,210473.67816067056
,,2015-06-26,209531.99637312815
,,2015-06-29,209759.95620761818
,,2015-06-30,205125.6557295312
,,2015-07-01,205031.62913178583
,,2015-07-02,206529.18918898405
,,2015-07-06,206094.9372499623
,,2015-07-07,205935.33073632227
,,2015-07-08,207920.567215131
,,2015-07-09,205999.0915675523
,,2015-07-10,208066.7314304927
,,2015-07-13,209797.63735865738
,,2015-07-14,211374.42810754344
,,2015-07-15,211909.32098541065
,,2015-07-16,213815.04740064935
,,2015-07-17,215493.7163167129
,,2015-07-20,215913.67455723335
,,2015-07-21,216351.94548460777
,,2015-07-22,215073.076215139
,,2015-07-23,215183.65029449423
,,2015-07-24,213436.61403825448
,,2015-07-27,211913.40948994836
,,2015-07-28,210607.82775622822
,,2015-07-29,215103.28119151038
,,2015-07-30,214319.84717493627
,,2015-07-31,214792.32481182268
,,2015-08-03,213725.91569818213
,,2015-08-04,213388.7702353989
,,2015-08-05,214331.74258545792
,,2015-08-06,215087.63112519955
,,2015-08-07,215673.25156878
,,2015-08-10,215786.96107201837
,,2015-08-11,215436.70726276241
,,2015-08-12,214262.7576622396
,,2015-08-13,213371.89540783723
,,2015-08-14,213229.4730733052
,,2015-08-17,213670.124478543
,,2015-08-18,213421.44064528676
,,2015-08-19,212363.80246279
,,2015-08-20,210709.1029798403
,,2015-08-21,207837.6568625706
,,2015-08-24,202807.22028268187
,,2015-08-25,196381.54680592986
,,2015-08-26,194714.12352827517
,,2015-08-27,201075.5999980328
,,2015-08-28,205564.51937559742
,,2015-08-31,205901.2602899915
,,2015-09-01,202542.8325404373
,,2015-09-02,198004.3845063019
,,2015-09-03,199431.57073171216
,,2015-09-04,199833.7614863554
,,2015-09-08,196743.9022095747
,,2015-09-09,200942.26930842613
,,2015-09-10,197227.16081447678
,,2015-09-11,198035.5514948035
,,2015-09-14,198568.7014011835
,,2015-09-15,197473.4588426586
,,2015-09-16,198675.7647156124
,,2015-09-17,199174.4778358927
,,2015-09-18,198062.03646055056
,,2015-09-21,192396.06291563052
,,2015-09-22,197312.04340133042
,,2015-09-23,194975.87099260866
,,2015-09-24,195073.1803973831
,,2015-09-25,193994.9455940649
,,2015-09-28,194363.81992910535
,,2015-09-29,193296.49357696745
,,2015-09-30,193949.6438542265
,,2015-10-01,195218.53272158426
,,2015-10-02,195560.1094305092
,,2015-10-05,196014.91921313555
,,2015-10-06,198114.72213587508
,,2015-10-07,196808.16917462338
,,2015-10-08,199080.3440685108
,,2015-10-09,200178.8132581467
,,2015-10-12,199372.13809769123
,,2015-10-13,200015.62438565755
,,2015-10-14,198540.05877086357
,,2015-10-15,196653.98993184423
,,2015-10-16,200323.59122744668
,,2015-10-19,200457.6329234026
,,2015-10-20,200773.7979252471
,,2015-10-21,201248.00527859782
,,2015-10-22,199482.84621157363
,,2015-10-23,206018.5176306016
,,2015-10-26,206528.03486627014
,,2015-10-27,204929.81078981754
,,2015-10-28,202994.76082019915
,,2015-10-29,207056.90112400643
,,2015-10-30,206502.89270101307
,,2015-11-02,204819.65139273624
,,2015-11-03,207628.95913039328
,,2015-11-04,206223.24282464478
,,2015-11-05,206393.51746286365
,,2015-11-06,204644.28826407646
,,2015-11-09,202916.7014535388
,,2015-11-10,200988.82914223126
,,2015-11-11,202118.7631392483
,,2015-11-12,202168.66870268586
,,2015-11-13,199781.02103171882
,,2015-11-16,198520.5935154159
,,2015-11-17,199419.5605167927
,,2015-11-18,200263.8299586908
,,2015-11-19,204728.08426285227
,,2015-11-20,204967.79270944616
,,2015-11-23,204298.56417296914
,,2015-11-24,203673.56295181834
,,2015-11-25,203524.4782703375
,,2015-11-27,202314.30873576208
,,2015-11-30,201521.5988768323
,,2015-12-01,201305.57672218827
,,2015-12-02,205110.24428748747
,,2015-12-03,203065.48330906685
,,2015-12-04,198664.83152522298
,,2015-12-07,204303.85691213043
,,2015-12-08,203278.14175862866
,,2015-12-09,200143.42356280982
,,2015-12-10,197679.7481471292
,,2015-12-11,197463.26040732523
,,2015-12-14,195982.41759868083
,,2015-12-15,198745.75667674874
,,2015-12-16,202374.96813229762
,,2015-12-17,203720.34458275954
,,2015-12-18,201439.95605326444
,,2015-12-21,194291.81678036193
,,2015-12-22,196531.8393868638
,,2015-12-23,200080.65864064888
,,2015-12-24,200432.85721025214
,,2015-12-28,200764.22078652534
,,2015-12-29,199987.6924492771
,,2015-12-30,200502.19137902325
,,2015-12-31,199880.49982575583
,,2016-01-04,197318.7417022548
,,2016-01-05,196055.35239418293
,,2016-01-06,197489.3548649954
,,2016-01-07,197220.34915878164
,,2016-01-08,195631.05541421956
,,2016-01-11,194722.74088726693
,,2016-01-12,193101.54160128772
,,2016-01-13,193552.74419620767
,,2016-01-14,190824.17027498985
,,2016-01-15,192819.42354073748
,,2016-01-19,189876.1731486257
,,2016-01-20,191837.29719019105
,,2016-01-21,188827.7934470052
,,2016-01-22,189942.18790138845
,,2016-01-25,191489.29136822396
,,2016-01-26,187060.6469938655
,,2016-01-27,189793.55337421608
,,2016-01-28,189027.336326877
,,2016-01-29,188682.10352393036
,,2016-02-01,194221.50222917745
,,2016-02-02,194729.9803076657
,,2016-02-03,189714.6178792488
,,2016-02-04,190020.22808718256
,,2016-02-05,191783.91126493074
,,2016-02-08,190463.25763044017
,,2016-02-09,191896.651656884
,,2016-02-10,192258.32364476373
,,2016-02-11,190235.730610035
,,2016-02-12,190356.25337925303
,,2016-02-16,193880.69939108408
,,2016-02-17,193090.51920842717
,,2016-02-18,195925.96082298283
,,2016-02-19,195738.6081526053
,,2016-02-22,196888.73642771295
,,2016-02-23,198832.74155228265
